avg_norm_x,avg_norm_y,std_norm_x,std_norm_y,top_edge_time,bottom_edge_time,idle_percentage,key_press_count,key_press_rate,alt_key_count,tab_key_count,meta_key_count,control_key_count,shift_key_count,shortcut_key_count,shortcut_key_ratio,backspace_count,backspace_ratio,backspace_burst_count,rapid_key_count,rapid_key_ratio,clipboard_operation_count,clipboard_operation_rate,copy_count,cut_count,paste_count,avg_clipboard_length,blur_count,total_blur_duration,avg_blur_duration,tab_switch_count,window_resize_count,suspicious_resize_count,rapid_switch_count,tab_switch_frequency,window_switch_frequency,resize_frequency,exam_id,window_start
0.2834,0.2803,0.1377,0.146,0.0,0.0,0.3226,5.0,0.1879,4.0,0.0,0.0,0.0,0.0,4.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,2.2548,0.0,1.0,0.0,2.0,11.0,7.349,0.6681,9.0,1.0,1.0,28.0,20.2931,24.8027,2.2548,1,2025-03-14 17:04:30.441000+05:30
0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.3769,0.0,1,2025-03-14 17:05:00.441000+05:30
